loop;Wzgorza Krzeslawickie;50.09468867001616, 20.065187215805057;1,4,5;1NE10,4NE10,5NE10;;;
path;Wzgorza Krzeslawickie;Jarzebiny;100;1,4,5;"50.09468867001616, 20.065187215805057; 50.091759961497175, 20.06050944328308";80;1
stop;Jarzebiny;50.091759961497175, 20.06050944328308;1,4,5;;;;
path;Jarzebiny;Darwina;100;1,4,5;" 50.091759961497175, 20.06050944328308; 50.09104410422565, 20.05938291549683; 50.09080662998019, 20.05909323692322";80;1
stop;Darwina;50.09080662998019, 20.05909323692322;1,4,5;;;;
path;Darwina;Wiadukty;100;1,4,5;"50.09081007164435, 20.059109330177307; 50.08945059507735, 20.05779504776001; 50.088359544216885, 20.0567489862442";80;1
stop;Wiadukty;50.088345776854915, 20.0567489862442;1,4,5;;;;
path;Wiadukty;Jwiadukty;100;1,4,5;"50.088359544216885, 20.05675435066223; 50.087829497926045, 20.056244730949405";80;0.2
junction;Jwiadukty;50.087829497926045, 20.056244730949405;1,4,5;;;;
path;Jwiadukty;Wankowicza;100;1,5;"50.08783982355911, 20.056223273277286; 50.08694836904213, 20.047473907470707";80;1
stop;Wankowicza;50.086955252924334, 20.047473907470707;1,5;1NE1;;;
path;Wankowicza;Cienista;100;1,5;"50.086955252924334, 20.047484636306766; 50.0864010972444, 20.04190564155579; 50.08576088456914, 20.03938436508179; 50.0851963888797, 20.03815054893494";80;1
stop;Cienista;50.08519294681241, 20.03815054893494;1,5;;;;
path;Cienista;Teatr Ludowy;100;1,5;"50.08517917854083, 20.03814518451691; 50.082132851214695, 20.032474994659427";80;2
stop;Teatr Ludowy;50.082132851214695, 20.032474994659427;1,5;;;;
path;Teatr Ludowy;rondo kocmyrzowskie im ks gorzelanego;100;1,5;"50.0821362935017, 20.03245353698731; 50.08030151947189, 20.029041767120365; 50.079943506595285, 20.0279313325882; 50.07962680066814, 20.027346611022953";80;2
stop;rondo kocmyrzowskie im ks gorzelanego;50.07961991573343, 20.027330517768863;1,5,9,14,16,21,52;;;;
path;rondo kocmyrzowskie im ks gorzelanego;Bienczycka;100;1,5,9!,14!,52!;"50.07964057053456, 20.027330517768863; 50.079310092648754, 20.026772618293766; 50.07886256688051, 20.026322007179264; 50.078711095674244, 20.026112794876102; 50.07587092194774, 20.020850300788883";80;1
stop;Bienczycka;50.075881250156975, 20.02088248729706;1,5,9,14,52;;;;
path;Bienczycka;Rondo Czyzynskie;100;1,5,9!,14!,52!;"50.075891578364, 20.020893216133118; 50.07451446446665, 20.018339753150943; 50.073953279211, 20.017744302749637; 50.07345405981334, 20.01745998859406";80;3
stop;Rondo Czyzynskie;50.07345405981334, 20.01744389533997;1,4,5,9,10,14,22,44,52;;;;
path;Rondo Czyzynskie;Centralna;100;1,14!,22;"50.073450616902896, 20.01745462417603; 50.0721801660743, 20.016767978668216; 50.07106117743937, 20.016129612922672; 50.07061701778852, 20.01567363739014; 50.070255489454446, 20.015088915824894; 50.06960473158503, 20.013291835784916; 50.06931205982325, 20.01247644424439";80;1
stop;Centralna;50.06931205982325, 20.012481808662418;1,14,22;;;;
path;Centralna;rondo 308 dywizjonu;100;1,14!,22;"50.069315503030836, 20.012487173080448; 50.06868194867419, 20.01020729541779; 50.06771094151507, 20.0069135427475; 50.06754566174288, 20.006371736526493; 50.06739071143917, 20.00536322593689";80;1
stop;rondo 308 dywizjonu;50.067383824747395, 20.00536859035492;1,14,22;;;;
path;rondo 308 dywizjonu;M1 al pokoju;100;1,14!,22;"50.06740104147499, 20.00536859035492; 50.0673046277208, 20.004858970642093; 50.06717033681163, 20.00447273254395; 50.066922414145296, 20.003995299339298; 50.06683977297174, 20.00373244285584; 50.066257837342974, 20.00073373317719; 50.065586364382476, 19.996876716613773";80;2
stop;M1 al pokoju;50.06558292090717, 19.996892809867862;1,14,22;;;;
path;M1 al pokoju;Tauron Arena Krakow Al Pokoju;100;1,14!,22;"50.06558292090717, 19.996865987777714; 50.064308818076526, 19.989543557167057";80;1
stop;Tauron Arena Krakow Al Pokoju;50.064291600238946, 19.989516735076908;1,14,22;;;;
